id,full_name,email,salary_status,created_at
77,Gabriele Gumprich,gabriele.gumprich@example.com,50k - 100k,2026-02-11 12:15:32.478366
78,Ben Jacob B.Eng.,ben.jacob.b.eng.@example.com,50k - 100k,2026-02-11 12:15:32.478366
79,Heinz-Otto Keudel-Schenk,heinz-otto.keudel-schenk@example.com,50k - 100k,2026-02-11 12:15:32.478366
80,Heide Riehl,heide.riehl@example.com,150k+,2026-02-11 12:15:32.478366
81,Gerta Roht MBA.,gerta.roht.mba.@example.com,150k+,2026-02-11 12:15:32.478366
82,Raphael Niemeier-Partzelt,raphael.niemeier-partzelt@example.com,50k - 100k,2026-02-11 12:15:32.478366
83,Dipl.-Ing. Annita Eckbauer MBA.,dipl.-ing..annita.eckbauer.mba.@example.com,50k - 100k,2026-02-11 12:15:32.478366
84,Traude Wohlgemut,traude.wohlgemut@example.com,100k - 150k,2026-02-11 12:15:32.478366
85,Niko Schmiedecke B.Sc.,niko.schmiedecke.b.sc.@example.com,50k - 100k,2026-02-11 12:15:32.478366
86,Karl-Hans Junck,karl-hans.junck@example.com,100k - 150k,2026-02-11 12:15:32.478366
87,Paul-Gerhard Graf-Reuter,paul-gerhard.graf-reuter@example.com,50k - 100k,2026-02-11 12:15:32.478366
88,Zdenka Grein Groth-Kade,zdenka.grein.groth-kade@example.com,< 50k,2026-02-11 12:15:32.478366
89,Randolf auch Schlauchin,randolf.auch.schlauchin@example.com,150k+,2026-02-11 12:15:32.478366
90,Olaf Davids MBA.,olaf.davids.mba.@example.com,100k - 150k,2026-02-11 12:15:32.478366
91,Klemens Gerlach,klemens.gerlach@example.com,50k - 100k,2026-02-11 12:15:32.478366
92,Prof. Kate Rogner,prof..kate.rogner@example.com,50k - 100k,2026-02-11 12:15:32.478366
93,Prof. Mirja Kitzmann B.Sc.,prof..mirja.kitzmann.b.sc.@example.com,100k - 150k,2026-02-11 12:15:32.478366
94,Herr Samir Holt,herr.samir.holt@example.com,100k - 150k,2026-02-11 12:15:32.478366
95,Wilhelm Nohlmans-Baum,wilhelm.nohlmans-baum@example.com,150k+,2026-02-11 12:15:32.478366
96,Freia Steinberg,freia.steinberg@example.com,150k+,2026-02-11 12:15:32.478366
97,Heinz Dieter Kohler B.Sc.,heinz.dieter.kohler.b.sc.@example.com,50k - 100k,2026-02-11 12:15:32.478366
98,Lene Beyer,lene.beyer@example.com,< 50k,2026-02-11 12:15:32.478366
99,Hanife Gute-Scheuermann,hanife.gute-scheuermann@example.com,150k+,2026-02-11 12:15:32.478366
100,Hermann Josef Metz-Winkler,hermann.josef.metz-winkler@example.com,< 50k,2026-02-11 12:15:32.478366
